I'm 19.	J'ai 19 ans.
I'm not ashamed to tell you.	Je n'ai pas honte de vous dire.
I'm not available right now.	Je ne suis pas libre tout de suite.
I'm not going to allow that.	Je ne vais pas autoriser ça.
I'm not going to betray you.	Je ne vais pas te trahir.
I'm not going to name names.	Je ne vais pas citer de noms.
I'm not going to name names.	Je ne vais pas livrer de noms.
I'm not good at negotiating.	Je ne suis pas bon pour négocier.
I'm not good at negotiating.	Je ne suis pas doué pour négocier.
I'm not good enough for Tom.	Je ne suis pas assez bien pour Tom.
I'm not good enough for you.	Je ne suis pas assez bon pour toi.
I'm not good enough for you.	Je ne suis pas assez bon pour vous.
I'm not good enough for you.	Je ne suis pas assez bonne pour toi.
I'm not good enough for you.	Je ne suis pas assez bonne pour vous.
I'm not in a mood to go out.	Je ne suis pas d'humeur à sortir.
I'm not in love with anyone.	Je ne suis amoureux de personne.
I'm not in love with anyone.	Je ne suis amoureuse de personne.
I'm not in the office today.	Je ne suis pas au bureau aujourd'hui.
I'm not really that thirsty.	Je n'ai pas si soif que ça.
I'm not saying that's wrong.	Je ne dis pas que c'est faux.
I'm not suggesting anything.	Je ne suggère rien.
I'm not sure I want the job.	Je ne suis pas certain de vouloir le poste.
I'm not sure I want the job.	Je ne suis pas certaine de vouloir le poste.
I'm not talking to you, Tom.	Je ne te parle pas, Tom.
I'm not talking to you, Tom.	Je ne vous parle pas, Tom.
I'm not very good at French.	Je ne suis pas très bon en français.
I'm not worried about money.	Je ne suis pas inquiet pour l'argent.
I'm older than your brother.	Je suis plus vieux que ton frère.
I'm opening my presents now.	J'ouvre maintenant mes cadeaux.
I'm playing a computer game.	Je joue à un jeu vidéo.
I'm playing with my friends.	Je joue avec mes amis.
I'm playing with my friends.	Je joue avec mes amies.
I'm playing with my friends.	Je suis en train de jouer avec mes amis.
I'm playing with my friends.	Je suis en train de jouer avec mes amies.
I'm really angry about this.	Je suis vraiment en colère à ce sujet.
I'm really glad you're here.	Je me réjouis vraiment que tu sois là.
I'm saving as much as I can.	J'économise autant que je peux.
I'm seeing her this evening.	Je la vois ce soir.
I'm sick of your complaints.	J'en ai assez de vos récriminations.
I'm sick of your complaints.	J'en ai assez de tes récriminations.
I'm sorry I was rude to you.	Je suis désolé d'avoir été si grossier.
I'm sorry you're leaving us.	C'est triste que tu doives partir.
I'm sorry, I can't help you.	Je suis désolé de ne pas pouvoir t'aider.
I'm sorry, I can't help you.	Je suis désolée de ne pas pouvoir t'aider.
I'm sorry, I can't help you.	Je suis désolé, je ne peux pas t'aider.
I'm sorry, my father is out.	Je suis désolé, mon père est sorti.
I'm sorry, my father is out.	Je suis désolée, mon père est sorti.
I'm sorry, my father is out.	Je suis désolé, mon père est dehors.
I'm sorry, my father is out.	Je suis désolé, mon père est éliminé.
I'm sorry, my father is out.	Je suis désolée, mon père est dehors.
I'm sorry, my father is out.	Je suis désolée, mon père est éliminé.
I'm starting to dislike her.	Je commence à la trouver antipathique.
I'm still in love with Mary.	Je suis toujours amoureux de Mary.
I'm still in love with Mary.	Je suis toujours amoureuse de Mary.
I'm still thinking about it.	J'y pense encore.
I'm still thinking about it.	J'y songe encore.
I'm studying French grammar.	Je suis en train d'étudier la grammaire française.
I'm studying in the library.	J'étudie à la bibliothèque.
I'm sure I can persuade Tom.	Je suis certain de pouvoir persuader Tom.
I'm sure I can persuade Tom.	Je suis sûre de pouvoir persuader Tom.
I'm sure she'll leave early.	Je suis sûr qu'elle partira tôt.
I'm sure she'll leave early.	Je suis sûre qu'elle partira tôt.
I'm sure that I can do that.	Je suis sûr que je peux le faire.
I'm sure that I can do that.	Je suis sûre que je peux le faire.
I'm sure that I can do that.	Je suis sûr de pouvoir le faire.
I'm sure that I can do that.	Je suis sûre de pouvoir le faire.
I'm sure that Tom is honest.	Je suis sûr que Tom est honnête.
I'm sure we're going to win.	Je suis sûr que nous allons gagner.
I'm suspicious of everybody.	Tout le monde est, à mes yeux, suspect.
I'm taking a walk in a park.	Je me promène dans un parc.
I'm talking about my friend.	Je parle de mon ami.
I'm thankful for my friends.	Je suis reconnaissant envers mes amis.
I'm thankful for technology.	Je suis reconnaissant de pouvoir disposer de la technologie.
I'm the one who punched Tom.	C'est moi qui ai frappé Tom.
I'm too old for such things.	Je suis trop vieux pour ce genre de choses.
I'm used to driving a truck.	Je suis habitué à conduire un camion.
I'm used to driving a truck.	Je suis habituée à conduire un camion.
I'm used to staying up late.	Je suis habitué à rester debout tard.
I'm very proud of my father.	Je suis très fière de mon père.
I'm very proud of my father.	Je suis très fier de mon père.
I'm very sorry to hear that.	Je suis effondré d'entendre ça.
I'm very sorry, but I can't.	Je regrette beaucoup, mais je ne peux pas.
I'm well aware of the risks.	Je suis bien conscient des risques.
I'm well aware of the risks.	Je suis bien consciente des risques.
I'm wondering if I love Tom.	Je me demande si j'aime Tom.
I'm wondering if I love her.	Je me demande si je l'aime.
I'm wondering if I love him.	Je me demande si je l'aime.
I'm worried about my weight.	Mon poids me préoccupe.
She is a good tennis player.	C'est une bonne joueuse de tennis.
She is a short story writer.	Elle écrit des nouvelles.
She is always neat and tidy.	Elle est toujours soignée et ordonnée.
She is an excellent student.	C'est une excellente étudiante.
She is as beautiful as ever.	Elle est belle, comme toujours.
She is certainly over forty.	Elle a certainement plus de quarante ans.
She is certainly over forty.	C'est certainement une quadra.
She is contemplating a trip.	Elle planifie un voyage.
She is dressed like a bride.	Elle est habillée en mariée.
She is drunk with happiness.	Elle est ivre de bonheur.
She is extremely attractive.	Elle est extrêmement séduisante.
She is gracious to everyone.	Elle est sympathique avec tout le monde.
She is in low spirits today.	Elle n'a pas le moral aujourd'hui.
She is muttering to herself.	Elle se parle à elle toute seule.
She is peeling the potatoes.	Elle épluche des pommes de terre.
She is proficient in French.	Elle maîtrise le français.
She is qualified as a nurse.	C'est une infirmière attitrée.
She is really into knitting.	C'est une fondue de tricot.
She is really into knitting.	Elle est vraiment passionnée de tricot.
She is sitting on the bench.	Elle est assise sur un banc.
She is the executive editor.	Elle est l’éditeur en chef.
She is used to living alone.	Elle est habituée à vivre seule.
She is very annoyed with me.	Elle est très fâchée après moi.
She is very fond of flowers.	Elle aime beaucoup les fleurs.
She is watering the flowers.	Elle est en train d'arroser les fleurs.
She is wearing a blue dress.	Elle porte une robe bleue.
She is wearing a nice watch.	Elle porte une belle montre.
She is writing a letter now.	Elle écrit une lettre maintenant.
She said she had been happy.	Elle a dit qu'elle avait été heureuse.
She said that she was happy.	Elle dit qu'elle était heureuse.
She said that she was happy.	Elle a dit qu'elle était heureuse.
She sat beside me in church.	Elle s'assit près de moi à l'église.
She seemed to have been ill.	Elle semblait avoir été malade.
She seemed to have been ill.	Il semble qu'elle ait été malade.
She should be there at noon.	Elle devrait être là à midi.
She should be there at noon.	Elle devrait y être à midi.
She shouldn't go by herself.	Elle ne devrait pas y aller seule.
She shouldn't go by herself.	Elle ne devrait pas s'y rendre seule.
She slapped him in the face.	Elle le frappa au visage.
She sleeps with two pillows.	Elle dort avec deux coussins.
She smiled and said goodbye.	Elle sourit et prit congé.
She stabbed him in the back.	Elle le poignarda dans le dos.
She stabbed him in the back.	Elle l'a poignardé dans le dos.
She started from the summit.	Elle débuta au sommet.
She stays in touch with him.	Elle reste en contact avec lui.
She stopped picking daisies.	Elle s'arrêta de cueillir des pâquerettes.
She studies as hard as ever.	Elle étudie plus que jamais.
She's digging her own grave.	Elle creuse sa propre tombe.
She's inquisitive by nature.	Elle est curieuse de nature.
She's much happier than him.	Elle est bien plus heureuse que lui.
She's much heavier than him.	Elle est bien plus lourde que lui.
She's much heavier than him.	Elle est beaucoup plus lourde que lui.
She's not the marrying type.	Elle n'est pas du genre à se marier.
She's the girl of my dreams.	C'est la fille de mes rêves.
She's the perfect housewife.	C'est une femme d'intérieur accomplie.
She's very afraid of snakes.	Elle a très peur des serpents.
She's very afraid of snakes.	Elle a une peur bleue des serpents.
They are about the same age.	Ils sont à peu près du même âge.
They are about the same age.	Elles sont à peu près du même âge.
They are both good teachers.	Ce sont tous les deux de bons professeurs.
They are reading their book.	Ils lisent leur livre.
They are reading their book.	Elles lisent leur livre.
They aren't afraid of death.	Ils n'ont pas peur de la mort.
They're acting on their own.	Ils agissent de leur propre chef.
They're acting on their own.	Elles agissent de leur propre chef.
They're enjoying themselves.	Ils s'amusent.
They're enjoying themselves.	Elles s'amusent.
They're hiding in the woods.	Ils se cachent dans les bois.
They're hiding in the woods.	Elles se cachent dans les bois.
They're part-time employees.	Ce sont des employés à temps partiel.
They're part-time employees.	Ce sont des employées à temps partiel.
They're thirty dollars each.	Ils sont à trente dollars chacun.
They're thirty dollars each.	Elles sont à trente dollars chacune.
They're washing their hands.	Elles se lavent les mains.
We are apt to make mistakes.	Nous sommes susceptibles de commettre des erreurs.
We are apt to make mistakes.	Nous avons une propension à commettre des erreurs.
We are changing our clothes.	Nous changeons de vêtements.
We are going to have a baby.	Nous attendons un bébé.
We are going to have a baby.	Nous allons avoir un bébé.
We are going to the country.	Nous allons à la campagne.
We are having a mild winter.	Nous avons un hiver doux cette année.
We're about the same height.	Nous sommes à peu près de la même taille.
We're all being manipulated.	Nous sommes tous en train d'être manipulés.
We're all being manipulated.	Nous sommes toutes en train d'être manipulées.
We're all to blame for that.	Nous en sommes tous responsables.
We're all to blame for that.	Nous en sommes toutes responsables.
We're all to blame for that.	C'est de notre faute, à tous.
We're all very good players.	Nous sommes tous de très bons joueurs.
We're all very good players.	Nous sommes toutes de très bonnes joueuses.
We're both moving to Boston.	On déménage tous les deux à Boston.
We're both on the same side.	Nous sommes toutes les deux du même côté.
We're both on the same side.	Nous sommes tous les deux dans le même camp.
We're doing the wrong thing.	Nous faisons une erreur.
We're doing the wrong thing.	Nous n'agissons pas bien.
We're doing the wrong thing.	Nous faisons le mauvais choix.
We're friends from way back.	Nous sommes vieux amis.
We're going to keep smiling.	Nous allons continuer à sourire.
We're going to work tonight.	Nous allons travailler ce soir.
We're looking for the truth.	Nous recherchons la vérité.
We're married to each other.	Nous sommes mariés.
We're not breaking anything.	Nous n'allons pas casser quoi que ce soit.
We're not going on vacation.	Nous n'allons pas en vacances.
We're not officially dating.	On ne sort pas ensemble officiellement.
We're quite certain of that.	Nous en sommes pour ainsi dire certains.
We're quite certain of that.	Nous en sommes pour ainsi dire certaines.
We're running a little late.	Nous avons un peu de retard.
We're still shopping around.	Nous faisons encore des emplettes.
We're still shopping around.	Nous faisons encore des courses.
We're still waiting for Tom.	Nous attendons encore Tom.
